body part,surgery,total procedures
torso,Breast augmentation,"193,073"
torso,Breast implant removals,"36,367"
torso,Breast lift,"87,051"
torso,Breast reduction,52149
limbs,Buttock augmentation,"21,823"
limbs,Buttock implants,"1,179"
limbs,Buttock lift,"2,872"
limbs,Calf augmentation,299
head,Cheek implant,"108,189"
head,Chin augmentation,"43,900"
head,Dermabrasion,"139,933"
head,Ear surgery,"53,095"
head,Eyelid surgery,"325,112"
head,Facelift,"234,374"
head,Forehead lift,"88,675"
head,Hair transplantation,"9,670"
limbs,Labiaplasty,"9,725"
head,Lip augmentation,"34,236"
head,Lip reduction,"18,301"
torso,Liposuction,"211,067"
limbs,Lower body lift,"8,433"
head,Neck lift,"160,235"
head,Nose reshaping,"352,555"
torso,Pectoral implants,697
limbs,Thigh Lift,"9,275"
torso,Tummy tuck,"97,988"
limbs,Upper arm lift,"14,447"